original_file_name,file_name,Surface_Crack,Delamination,Pinhole,unclassified,recognized_label_count,frame_group,label_combination
R7-700um-middle_frame_489_patch_1.png,image_1.jpg,1,0,0,0,1,R7-700um-middle_frame_489,100
R1-1100um-top-to-bottom-center-1_frame_220_patch_7.png,image_2.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center-1_frame_220,100
R1-1100um-top-to-bottom-center_frame_85_patch_1.png,image_3.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center_frame_85,101
R1-1100um-top-to-bottom-center_frame_218_patch_5.png,image_5.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_218,100
R1-700um-top-to-bottom-center_frame_597_patch_3.png,image_8.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_597,100
R7-700um-middle_frame_100_patch_5.png,image_9.jpg,1,0,0,0,1,R7-700um-middle_frame_100,100
R1-900um-top-to-bottom-center_frame_512_patch_1.png,image_11.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_512,100
R1-1000um-top-to-bottom-center_frame_173_patch_1.png,image_12.jpg,1,0,0,0,1,R1-1000um-top-to-bottom-center_frame_173,100
R1-1100um-top-to-bottom-center_frame_98_patch_1.png,image_14.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center_frame_98,101
R1-600um-top-to-bottom-center_frame_61_patch_4.png,image_16.jpg,0,0,1,0,1,R1-600um-top-to-bottom-center_frame_61,001
R1-1100um-top-to-bottom-center_frame_361_patch_0.png,image_17.jpg,1,1,0,0,2,R1-1100um-top-to-bottom-center_frame_361,110
R1-800um-top-to-bottom-center_frame_46_patch_2.png,image_19.jpg,0,0,1,0,1,R1-800um-top-to-bottom-center_frame_46,001
R1-800um-top-to-bottom-center_frame_631_patch_1.png,image_20.jpg,1,0,1,0,2,R1-800um-top-to-bottom-center_frame_631,101
R1-1100um-top-to-bottom-center_frame_356_patch_2.png,image_22.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_356,100
R1-1100um-top-to-bottom-center_frame_264_patch_4.png,image_23.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center_frame_264,101
R1-800um-top-to-bottom-center_frame_412_patch_3.png,image_24.jpg,1,0,0,0,1,R1-800um-top-to-bottom-center_frame_412,100
R1-1100um-top-to-bottom-center-1_frame_425_patch_5.png,image_27.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center-1_frame_425,100
R1-900um-top-to-bottom-center_frame_604_patch_4.png,image_28.jpg,1,0,1,0,2,R1-900um-top-to-bottom-center_frame_604,101
R1-1100um-top-to-bottom-center-1_frame_425_patch_2.png,image_29.jpg,1,1,0,0,2,R1-1100um-top-to-bottom-center-1_frame_425,110
R7-700um-middle_frame_500_patch_2.png,image_33.jpg,1,0,0,0,1,R7-700um-middle_frame_500,100
R1-1100um-top-to-bottom-center_frame_128_patch_0.png,image_34.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_128,100
R1-1100um-top-to-bottom-center_frame_86_patch_4.png,image_35.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_86,100
R1-1100um-top-to-bottom-center_frame_281_patch_7.png,image_36.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center_frame_281,101
R1-1100um-top-to-bottom-center_frame_183_patch_4.png,image_37.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_183,100
R1-600um-top-to-bottom-center_frame_603_patch_3.png,image_38.jpg,1,0,1,0,2,R1-600um-top-to-bottom-center_frame_603,101
R1-1100um-top-to-bottom-center-1_frame_205_patch_8.png,image_39.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center-1_frame_205,100
R1-700um-top-to-bottom-center_frame_485_patch_6.png,image_41.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_485,100
R1-1000um-top-to-bottom-center_frame_180_patch_7.png,image_43.jpg,1,0,0,0,1,R1-1000um-top-to-bottom-center_frame_180,100
R1-1100um-top-to-bottom-center_frame_386_patch_0.png,image_44.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_386,100
R1-600um-top-to-bottom-center_frame_387_patch_4.png,image_45.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_387,100
R1-800um-top-to-bottom-center_frame_454_patch_6.png,image_46.jpg,1,0,0,0,1,R1-800um-top-to-bottom-center_frame_454,100
R1-600um-top-to-bottom-center_frame_594_patch_8.png,image_47.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_594,100
R1-900um-top-to-bottom-center_frame_179_patch_4.png,image_48.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_179,100
R1-1100um-top-to-bottom-center_frame_43_patch_2.png,image_49.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_43,100
R1-900um-top-to-bottom-center_frame_263_patch_7.png,image_50.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_263,100
R1-700um-top-to-bottom-center_frame_41_patch_1.png,image_52.jpg,0,0,1,0,1,R1-700um-top-to-bottom-center_frame_41,001
R1-1100um-top-to-bottom-center_frame_327_patch_3.png,image_54.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_327,100
R1-1000um-top-to-bottom-center_frame_458_patch_1.png,image_58.jpg,1,1,0,0,2,R1-1000um-top-to-bottom-center_frame_458,110
R1-600um-top-to-bottom-center_frame_631_patch_2.png,image_59.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_631,100
R1-600um-top-to-bottom-center_frame_182_patch_1.png,image_61.jpg,0,0,1,0,1,R1-600um-top-to-bottom-center_frame_182,001
R1-600um-top-to-bottom-center_frame_356_patch_2.png,image_63.jpg,1,0,1,0,2,R1-600um-top-to-bottom-center_frame_356,101
R1-1100um-top-to-bottom-center_frame_223_patch_0.png,image_64.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_223,100
R1-700um-top-to-bottom-center_frame_556_patch_0.png,image_66.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_556,100
R1-1100um-top-to-bottom-center_frame_232_patch_5.png,image_67.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center_frame_232,101
R1-1100um-top-to-bottom-center-1_frame_241_patch_7.png,image_71.jpg,1,0,1,0,2,R1-1100um-top-to-bottom-center-1_frame_241,101
R1-600um-top-to-bottom-center_frame_387_patch_3.png,image_72.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_387,100
R7-700um-middle_frame_512_patch_8.png,image_73.jpg,1,0,0,0,1,R7-700um-middle_frame_512,100
R1-900um-top-to-bottom-center_frame_194_patch_5.png,image_74.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_194,100
R1-1100um-top-to-bottom-center-1_frame_241_patch_3.png,image_76.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center-1_frame_241,100
R1-800um-top-to-bottom-center_frame_638_patch_0.png,image_77.jpg,1,0,1,0,2,R1-800um-top-to-bottom-center_frame_638,101
R1-1100um-top-to-bottom-center_frame_124_patch_4.png,image_78.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_124,100
R1-800um-top-to-bottom-center_frame_119_patch_6.png,image_80.jpg,0,0,1,0,1,R1-800um-top-to-bottom-center_frame_119,001
R1-1000um-top-to-bottom-center_frame_134_patch_5.png,image_82.jpg,1,0,1,0,2,R1-1000um-top-to-bottom-center_frame_134,101
R1-1100um-top-to-bottom-center_frame_277_patch_5.png,image_83.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_277,100
R1-900um-top-to-bottom-center_frame_418_patch_2.png,image_84.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_418,100
R1-600um-top-to-bottom-center_frame_622_patch_3.png,image_86.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_622,100
R1-900um-top-to-bottom-center_frame_486_patch_8.png,image_88.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_486,100
R1-1100um-top-to-bottom-center_frame_220_patch_8.png,image_90.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_220,100
R1-1100um-top-to-bottom-center-1_frame_96_patch_6.png,image_91.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center-1_frame_96,100
R1-900um-top-to-bottom-center_frame_565_patch_6.png,image_94.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_565,100
R1-1100um-top-to-bottom-center_frame_254_patch_5.png,image_96.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_254,100
R1-700um-top-to-bottom-center_frame_387_patch_8.png,image_97.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_387,100
R1-700um-top-to-bottom-center_frame_347_patch_3.png,image_98.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_347,100
R1-1100um-top-to-bottom-center-1_frame_521_patch_4.png,image_99.jpg,1,1,0,0,2,R1-1100um-top-to-bottom-center-1_frame_521,110
R1-1100um-top-to-bottom-center_frame_128_patch_8.png,image_100.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_128,100
R1-700um-top-to-bottom-center_frame_556_patch_6.png,image_101.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_556,100
R1-600um-top-to-bottom-center_frame_412_patch_1.png,image_104.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_412,100
R1-800um-top-to-bottom-center_frame_499_patch_0.png,image_108.jpg,1,0,0,0,1,R1-800um-top-to-bottom-center_frame_499,100
R1-1100um-top-to-bottom-center_frame_218_patch_7.png,image_109.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_218,100
R1-600um-top-to-bottom-center_frame_408_patch_8.png,image_110.jpg,1,0,0,0,1,R1-600um-top-to-bottom-center_frame_408,100
R1-900um-top-to-bottom-center_frame_604_patch_8.png,image_111.jpg,1,0,0,0,1,R1-900um-top-to-bottom-center_frame_604,100
R1-1100um-top-to-bottom-center_frame_52_patch_4.png,image_112.jpg,1,0,0,0,1,R1-1100um-top-to-bottom-center_frame_52,100
R1-700um-top-to-bottom-center_frame_289_patch_0.png,image_113.jpg,1,0,0,0,1,R1-700um-top-to-bottom-center_frame_289,100
